"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","B5-TYPES-PRELIM.23","","Fri Nov 22 03:51:52 GMT 2024","passed","Fri Nov 22 03:51:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","35","MATH-HYPHEN-FUNCTIONS.28","","Fri Nov 22 03:56:24 GMT 2024","failed","Fri Nov 22 03:56:24 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","9000","metta_lang.Functions_and_unification___MeTTa_Language6","","Fri Nov 22 03:44:09 GMT 2024","passed","Fri Nov 22 03:44:18 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","56","INDEX-MIN-FUNCTIONS-EXTRA-1.10","","Fri Nov 22 03:56:24 GMT 2024","failed","Fri Nov 22 03:56:24 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","XOR-TEST.02","","Fri Nov 22 03:56:24 GMT 2024","passed","Fri Nov 22 03:56:24 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","CONCRETE-TYPES---METTA-LANGUAGE3.01","","Fri Nov 22 04:10:37 GMT 2024","passed","Fri Nov 22 04:10:37 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","WORKING-WITH-SPACES---METTA-LANGUAGE5.01","","Fri Nov 22 04:10:37 GMT 2024","passed","Fri Nov 22 04:10:37 GMT 2024","","METTA-LANG","METTA-LANG",""
"","10000","metta_lang.Free_variables_and_nondeterminism_again,_recursively___MeTTa_Language4","","Fri Nov 22 03:44:09 GMT 2024","passed","Fri Nov 22 03:44:19 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","WORKING-WITH-SPACES---METTA-LANGUAGE3.08","","Fri Nov 22 04:10:37 GMT 2024","passed","Fri Nov 22 04:10:37 GMT 2024","","METTA-LANG","METTA-LANG",""
"","85","MATH-HYPHEN-FUNCTIONS.15","","Fri Nov 22 03:56:24 GMT 2024","failed","Fri Nov 22 03:56:24 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","D4-TYPE-PROP.12","","Fri Nov 22 04:39:12 GMT 2024","passed","Fri Nov 22 04:39:12 GMT 2024","","QUICK","QUICK",""
"","8000","metta_lang.Working_with_spaces___MeTTa_Language9","","Fri Nov 22 03:44:09 GMT 2024","passed","Fri Nov 22 03:44:17 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","3","SUPERPOSE-NESTED.01","","Fri Nov 22 04:33:15 GMT 2024","passed","Fri Nov 22 04:33:15 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","86","INDEX-MIN-FUNCTIONS-EXTRA-2.14","","Fri Nov 22 03:56:24 GMT 2024","failed","Fri Nov 22 03:56:24 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","9000","metta_lang.Console_output_and_debugging___MeTTa_Language3","","Fri Nov 22 03:44:09 GMT 2024","passed","Fri Nov 22 03:44:18 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","89","MATH-HYPHEN-FUNCTIONS.27","","Fri Nov 22 03:56:24 GMT 2024","failed","Fri Nov 22 03:56:24 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","A1-SYMBOLS.07","","Fri Nov 22 03:51:52 GMT 2024","passed","Fri Nov 22 03:51:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","10000","quick.d2_higherfunc","","Fri Nov 22 03:44:09 GMT 2024","passed","Fri Nov 22 03:44:19 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","3","QUERYING-SPACE-CONTENT---METTA-LANGUAGE5.02","","Fri Nov 22 04:10:37 GMT 2024","passed","Fri Nov 22 04:10:37 GMT 2024","","METTA-LANG","METTA-LANG",""
"","126","COMPILE-TESTS.03","","Fri Nov 22 03:56:24 GMT 2024","failed","Fri Nov 22 03:56:24 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","48","FIRST-ANSWER.02","","Fri Nov 22 03:56:24 GMT 2024","failed","Fri Nov 22 03:56:24 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","4","RECURSION-AND-CONTROL---METTA-LANGUAGE3.04","","Fri Nov 22 04:10:37 GMT 2024","passed","Fri Nov 22 04:10:37 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","UNIQUE-TEST.03","","Fri Nov 22 03:56:24 GMT 2024","passed","Fri Nov 22 03:56:24 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","D2-HIGHERFUNC.11","","Fri Nov 22 03:51:52 GMT 2024","passed","Fri Nov 22 03:51:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","CONCRETE-TYPES---METTA-LANGUAGE7.06","","Fri Nov 22 04:10:37 GMT 2024","passed","Fri Nov 22 04:10:37 GMT 2024","","METTA-LANG","METTA-LANG",""
"","9000","metta_lang.Operations_over_atoms___MeTTa_Language2","","Fri Nov 22 03:44:09 GMT 2024","passed","Fri Nov 22 03:44:18 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
