"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","596","TMPMATCH2.05","","Fri Nov 08 14:08:34 GMT 2024","passed","Fri Nov 08 14:08:34 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
"","2","XOR-TEST.11","","Fri Nov 08 14:16:39 GMT 2024","passed","Fri Nov 08 14:16:39 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","HYPERPOSE.05","","Fri Nov 08 14:25:43 GMT 2024","passed","Fri Nov 08 14:25:43 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","4","SPACE-SUBTRACTION-TESTS.10","","Fri Nov 08 14:16:39 GMT 2024","passed","Fri Nov 08 14:16:39 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","XOR-TEST.09","","Fri Nov 08 14:16:39 GMT 2024","passed","Fri Nov 08 14:16:39 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","67","EVAL-FOR-TESTS.05","","Fri Nov 08 14:16:39 GMT 2024","failed","Fri Nov 08 14:16:39 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","16","MINIMAL-METTA-TESTS.40","","Fri Nov 08 14:16:39 GMT 2024","failed","Fri Nov 08 14:16:39 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","83","SEQUENTIAL-NESTED.11","","Fri Nov 08 14:25:43 GMT 2024","passed","Fri Nov 08 14:25:43 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","2","MATCH-VOID.07","","Fri Nov 08 14:25:43 GMT 2024","passed","Fri Nov 08 14:25:43 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","2","FIND-ALL-TESTS.06","","Fri Nov 08 14:16:39 GMT 2024","passed","Fri Nov 08 14:16:39 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","PRINT-GRAPH.03","","Fri Nov 08 14:11:33 GMT 2024","passed","Fri Nov 08 14:11:33 GMT 2024","","METTA-WAM-ISSUE-145","METTA-WAM-ISSUE-145",""
"","3","INTERSECTION-TESTS.02","","Fri Nov 08 14:16:39 GMT 2024","passed","Fri Nov 08 14:16:39 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","METTALOGTESTCURRIED2.01","","Fri Nov 08 14:08:34 GMT 2024","passed","Fri Nov 08 14:08:34 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
"","15","MINIMAL-METTA-TESTS.13","","Fri Nov 08 14:16:39 GMT 2024","failed","Fri Nov 08 14:16:39 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","TEST-IF-CLOSED.02","","Fri Nov 08 14:08:34 GMT 2024","passed","Fri Nov 08 14:08:34 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
"","8000","hyperon-experimental_scripts.c1_grounded_basic","","Fri Nov 08 14:08:26 GMT 2024","passed","Fri Nov 08 14:08:34 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","HYPERPOSE.02","","Fri Nov 08 14:25:43 GMT 2024","passed","Fri Nov 08 14:25:43 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","1","OR-TEST.15","","Fri Nov 08 14:16:39 GMT 2024","passed","Fri Nov 08 14:16:39 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","F1-MODULEA.07","","Fri Nov 08 14:13:37 GMT 2024","passed","Fri Nov 08 14:13:37 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","50","BC-COMP.02","","Fri Nov 08 14:08:34 GMT 2024","failed","Fri Nov 08 14:08:34 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
"","2","B3-DIRECT.03","","Fri Nov 08 14:13:37 GMT 2024","passed","Fri Nov 08 14:13:37 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","8000","hyperon-experimental_scripts.g1_docs","","Fri Nov 08 14:08:26 GMT 2024","passed","Fri Nov 08 14:08:34 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","3","B5-TYPES-PRELIM.21","","Fri Nov 08 14:13:37 GMT 2024","passed","Fri Nov 08 14:13:37 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","B5-TYPES-PRELIM.19","","Fri Nov 08 14:13:37 GMT 2024","passed","Fri Nov 08 14:13:37 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","8000","quick.d4_type_prop","","Fri Nov 08 14:08:26 GMT 2024","passed","Fri Nov 08 14:08:34 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","MINIMAL-METTA-TESTS.04","","Fri Nov 08 14:16:39 GMT 2024","passed","Fri Nov 08 14:16:39 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","D4-TYPE-PROP.10","","Fri Nov 08 14:29:27 GMT 2024","passed","Fri Nov 08 14:29:27 GMT 2024","","QUICK","QUICK",""
