"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","RECURSIVE-AND-PARAMETRIC-TYPES---METTA-LANGUAGE1.01","","Fri Nov 15 22:01:37 GMT 2024","passed","Fri Nov 15 22:01:37 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","INTERSECTION-TESTS.13","","Fri Nov 15 21:52:10 GMT 2024","passed","Fri Nov 15 21:52:10 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","BASIC-EVALUATION---METTA-LANGUAGE15.05","","Fri Nov 15 22:01:37 GMT 2024","passed","Fri Nov 15 22:01:37 GMT 2024","","METTA-LANG","METTA-LANG",""
"","9000","hyperon-experimental_scripts.b5_types_prelim","","Fri Nov 15 21:44:02 GMT 2024","passed","Fri Nov 15 21:44:11 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","CALL-TESTS.13","","Fri Nov 15 21:52:10 GMT 2024","passed","Fri Nov 15 21:52:10 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","F1-IMPORTS.10","","Fri Nov 15 21:43:53 GMT 2024","passed","Fri Nov 15 21:43:53 GMT 2024","","MODULE-SYSTEM","MODULE-SYSTEM",""
"","8000","metta_lang.Free_variables_and_nondeterminism_again_recursively___MeTTa_Language5","","Fri Nov 15 21:44:02 GMT 2024","passed","Fri Nov 15 21:44:10 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","TMPMATCH1.04","","Fri Nov 15 21:44:10 GMT 2024","passed","Fri Nov 15 21:44:10 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
"","3","STRING-TESTS.07","","Fri Nov 15 21:52:10 GMT 2024","passed","Fri Nov 15 21:52:10 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","NESTED-QUERIES-AND-RECURSIVE-GRAPH-TRAVERSAL---METTA-LANGUAGE2.02","","Fri Nov 15 22:01:37 GMT 2024","passed","Fri Nov 15 22:01:37 GMT 2024","","METTA-LANG","METTA-LANG",""
