"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","METHOD-SELECTION-TESTS.10","","Sat Nov 30 14:09:02 GMT 2024","passed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","59","B5-TYPES-PRELIM.24","","Sat Nov 30 14:04:06 GMT 2024","failed","Sat Nov 30 14:04:06 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","4","MINIMAL-METTA-TESTS.01","","Sat Nov 30 14:09:02 GMT 2024","passed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","B5-TYPES-PRELIM.12","","Sat Nov 30 14:04:06 GMT 2024","passed","Sat Nov 30 14:04:06 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","11","INHERIT-OR-NOT-TESTS.02","","Sat Nov 30 14:09:02 GMT 2024","failed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","A1-SYMBOLS.05","","Sat Nov 30 14:04:06 GMT 2024","passed","Sat Nov 30 14:04:06 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","41000","hyperon-mettalog_sanity.unbounded_free_variables_he_787","","Sat Nov 30 14:03:57 GMT 2024","failed","Sat Nov 30 14:04:38 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","3","DUPLICATION-SEMANTICS-HE-798.11","","Sat Nov 30 14:09:02 GMT 2024","passed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","5","OUTPUT-LOAD-TESTS.01","","Sat Nov 30 14:09:02 GMT 2024","passed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","73","MATH-HYPHEN-FUNCTIONS.35","","Sat Nov 30 14:09:02 GMT 2024","failed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","TYPES2.03","","Sat Nov 30 14:30:18 GMT 2024","passed","Sat Nov 30 14:30:18 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","10000","metta-morph_tests.tests0","","Sat Nov 30 14:03:57 GMT 2024","passed","Sat Nov 30 14:04:07 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","INTERSECTION-TESTS.20","","Sat Nov 30 14:09:02 GMT 2024","passed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","40","B5-TYPES-PRELIM.15","","Sat Nov 30 14:04:06 GMT 2024","failed","Sat Nov 30 14:04:06 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","B5-TYPES-PRELIM.25","","Sat Nov 30 14:04:06 GMT 2024","passed","Sat Nov 30 14:04:06 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","LIMIT-TESTS.05","","Sat Nov 30 14:09:02 GMT 2024","passed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","BASE-TEST-REPR-PARSE-INTERSECTION.03","","Sat Nov 30 14:09:02 GMT 2024","passed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","LIMIT-TESTS.14","","Sat Nov 30 14:09:02 GMT 2024","passed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","33","INDEX-MIN-FUNCTIONS-EXTRA-2.12","","Sat Nov 30 14:09:02 GMT 2024","failed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","OR-TEST.10","","Sat Nov 30 14:09:02 GMT 2024","passed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","16","MATCH-SUPERPOSED-SPACES.02","","Sat Nov 30 14:30:18 GMT 2024","passed","Sat Nov 30 14:30:18 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","3","B5-TYPES-PRELIM.01","","Sat Nov 30 14:04:06 GMT 2024","passed","Sat Nov 30 14:04:06 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","9000","hyperon-mettalog_sanity.03-soring-via-insert","","Sat Nov 30 14:03:57 GMT 2024","passed","Sat Nov 30 14:04:06 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","71","INDEX-MIN-FUNCTIONS-EXTRA-1.48","","Sat Nov 30 14:09:02 GMT 2024","failed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","SPACE-SUBTRACTION-TESTS.03","","Sat Nov 30 14:09:02 GMT 2024","passed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","TYPE-FILTERING-TESTS.14","","Sat Nov 30 14:09:02 GMT 2024","passed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","54","MATH-HYPHEN-FUNCTIONS.12","","Sat Nov 30 14:09:02 GMT 2024","failed","Sat Nov 30 14:09:02 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","10000","metta-morph_tests.types3","","Sat Nov 30 14:03:57 GMT 2024","passed","Sat Nov 30 14:04:07 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","9000","hyperon-experimental_scripts.b0_chaining_prelim","","Sat Nov 30 14:03:57 GMT 2024","passed","Sat Nov 30 14:04:06 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
