"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","SPACE-INTERSECTION-TESTS.16","","Tue Nov 19 05:33:03 GMT 2024","failed","Tue Nov 19 05:33:03 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","SUBTRACTION-TEST.07","","Tue Nov 19 05:33:03 GMT 2024","passed","Tue Nov 19 05:33:03 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","4","NESTED-QUERIES-AND-RECURSIVE-GRAPH-TRAVERSAL---METTA-LANGUAGE2.01","","Tue Nov 19 05:43:16 GMT 2024","passed","Tue Nov 19 05:43:16 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","B5-TYPES-PRELIM.01","","Tue Nov 19 05:29:50 GMT 2024","passed","Tue Nov 19 05:29:50 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","RECURSION-AND-CONTROL---METTA-LANGUAGE7.02","","Tue Nov 19 05:43:16 GMT 2024","passed","Tue Nov 19 05:43:16 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","OPERATIONS-OVER-ATOMS---METTA-LANGUAGE7.02","","Tue Nov 19 05:43:16 GMT 2024","passed","Tue Nov 19 05:43:16 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","RECURSION-AND-CONTROL---METTA-LANGUAGE8.02","","Tue Nov 19 05:43:16 GMT 2024","passed","Tue Nov 19 05:43:16 GMT 2024","","METTA-LANG","METTA-LANG",""
"","9000","synth_buffer.time_synthesize_short","","Tue Nov 19 05:24:50 GMT 2024","passed","Tue Nov 19 05:24:59 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","CONSOLE-OUTPUT-AND-DEBUGGING---METTA-LANGUAGE2.02","","Tue Nov 19 05:43:16 GMT 2024","passed","Tue Nov 19 05:43:16 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","OPERATIONS-OVER-ATOMS---METTA-LANGUAGE8.02","","Tue Nov 19 05:43:16 GMT 2024","passed","Tue Nov 19 05:43:16 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","WORKING-WITH-SPACES---METTA-LANGUAGE12.04","","Tue Nov 19 05:43:16 GMT 2024","passed","Tue Nov 19 05:43:16 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","HANDLING-NONDETERMINISTIC-RESULTS---METTA-LANGUAGE6.01","","Tue Nov 19 05:43:16 GMT 2024","passed","Tue Nov 19 05:43:16 GMT 2024","","METTA-LANG","METTA-LANG",""
"","1","XOR-TEST.09","","Tue Nov 19 05:33:03 GMT 2024","passed","Tue Nov 19 05:33:03 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","15","CONTROLLING-PATTERN-MATCHING---METTA-LANGUAGE10.08","","Tue Nov 19 05:43:16 GMT 2024","passed","Tue Nov 19 05:43:16 GMT 2024","","METTA-LANG","METTA-LANG",""
