"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","154","INF-CTL-MONTH-XP.05","","Tue Apr 22 09:53:23 GMT 2025","passed","Tue Apr 22 09:53:23 GMT 2025","","MORE-IMPORTANT","MORE-IMPORTANT",""
"","46","D4-TYPE-PROP-COMP.11","","Tue Apr 22 09:49:58 GMT 2025","passed","Tue Apr 22 09:49:58 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS-COMP","HYPERON-EXPERIMENTAL-SCRIPTS-COMP",""
"","66","D4-TYPE-PROP-COMP.02","","Tue Apr 22 09:49:58 GMT 2025","passed","Tue Apr 22 09:49:58 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS-COMP","HYPERON-EXPERIMENTAL-SCRIPTS-COMP",""
"","1000","anti-regression.bchain","","Tue Apr 22 09:46:25 GMT 2025","passed","Tue Apr 22 09:46:26 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","99","C2-SPACES.05","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","97","B5-TYPES-PRELIM.10","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","108","BUG-238-TEST-GET-TYPE.01","","Tue Apr 22 10:06:52 GMT 2025","passed","Tue Apr 22 10:06:52 GMT 2025","","ISSUES","ISSUES",""
"","29","E2-STATES.09","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","62","E1-KB-WRITE.01","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","122","TEST-N2.01","","Tue Apr 22 09:52:20 GMT 2025","failed","Tue Apr 22 09:52:20 GMT 2025","","EASY","EASY",""
"","77","B4-NONDETERM-COMP.03","","Tue Apr 22 09:49:58 GMT 2025","failed","Tue Apr 22 09:49:58 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS-COMP","HYPERON-EXPERIMENTAL-SCRIPTS-COMP",""
"","145","A1-SYMBOLS.05","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","1000","hyperon-experimental_scripts.b1_equal_chain","","Tue Apr 22 09:46:25 GMT 2025","passed","Tue Apr 22 09:46:26 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","131","ALPHA-EQUALS-TESTS.05","","Tue Apr 22 10:06:52 GMT 2025","passed","Tue Apr 22 10:06:52 GMT 2025","","ISSUES","ISSUES",""
"","39","SEQUENTIAL-NESTED.09","","Tue Apr 22 09:46:24 GMT 2025","passed","Tue Apr 22 09:46:24 GMT 2025","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","57","D4-TYPE-PROP.05","","Tue Apr 22 09:49:24 GMT 2025","failed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","217","INF-CTL-MONTH-BC-CONT-XP.17","","Tue Apr 22 09:53:23 GMT 2025","passed","Tue Apr 22 09:53:23 GMT 2025","","MORE-IMPORTANT","MORE-IMPORTANT",""
"","118","UNIQUE-BY-COMP.06","","Tue Apr 22 10:08:34 GMT 2025","failed","Tue Apr 22 10:08:34 GMT 2025","","QUICK-SETS-CHECK-COMP","QUICK-SETS-CHECK-COMP",""
"","53","PYTHON-QUICK.09","","Tue Apr 22 10:06:52 GMT 2025","failed","Tue Apr 22 10:06:52 GMT 2025","","ISSUES","ISSUES",""
"","86","F1-MODULEA.01","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","91","D2-HIGHERFUNC.23","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","177","ALPHA-EQUALS-TESTS.11","","Tue Apr 22 10:06:52 GMT 2025","passed","Tue Apr 22 10:06:52 GMT 2025","","ISSUES","ISSUES",""
"","1000","metta-morph_tests.add_atom_match","","Tue Apr 22 09:46:25 GMT 2025","passed","Tue Apr 22 09:46:26 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","42","D2-HIGHERFUNC-COMP.19","","Tue Apr 22 09:49:58 GMT 2025","failed","Tue Apr 22 09:49:58 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS-COMP","HYPERON-EXPERIMENTAL-SCRIPTS-COMP",""
"","72","MATCH-VOID-COMP.02","","Tue Apr 22 09:48:24 GMT 2025","failed","Tue Apr 22 09:48:24 GMT 2025","","METTA-MORPH-TESTS-COMP","METTA-MORPH-TESTS-COMP",""
"","23","D1-GADT-COMP.04","","Tue Apr 22 09:49:58 GMT 2025","failed","Tue Apr 22 09:49:58 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS-COMP","HYPERON-EXPERIMENTAL-SCRIPTS-COMP",""
"","80","SEQUENTIAL-NESTED.05","","Tue Apr 22 09:46:24 GMT 2025","passed","Tue Apr 22 09:46:24 GMT 2025","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","80","B4-NONDETERM-COMP.10","","Tue Apr 22 09:49:58 GMT 2025","failed","Tue Apr 22 09:49:58 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS-COMP","HYPERON-EXPERIMENTAL-SCRIPTS-COMP",""
"","28","D2-HIGHERFUNC.04","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","D1-GADT.13","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","90","B5-TYPES-PRELIM.02","","Tue Apr 22 09:49:24 GMT 2025","failed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","3","HYPERPOSE-COMP.02","","Tue Apr 22 09:48:24 GMT 2025","passed","Tue Apr 22 09:48:24 GMT 2025","","METTA-MORPH-TESTS-COMP","METTA-MORPH-TESTS-COMP",""
"","70","HYPERPOSE-COMP.04","","Tue Apr 22 09:48:24 GMT 2025","failed","Tue Apr 22 09:48:24 GMT 2025","","METTA-MORPH-TESTS-COMP","METTA-MORPH-TESTS-COMP",""
"","0","hyperon-experimental_scripts.a2_opencoggy","","Tue Apr 22 09:46:25 GMT 2025","passed","Tue Apr 22 09:46:25 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","1000","important.task1_whole_bug_compiler","","Tue Apr 22 09:46:25 GMT 2025","passed","Tue Apr 22 09:46:26 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","1000","hyperon-experimental_scripts.e2_states","","Tue Apr 22 09:46:25 GMT 2025","passed","Tue Apr 22 09:46:26 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","39","UNIFY-TRUE-FALSE.19","","Tue Apr 22 10:06:52 GMT 2025","passed","Tue Apr 22 10:06:52 GMT 2025","","ISSUES","ISSUES",""
"","1000","metta-morph_tests.letlet","","Tue Apr 22 09:46:25 GMT 2025","passed","Tue Apr 22 09:46:26 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","42","METTALOGTESTCURRIED2.01","","Tue Apr 22 10:08:48 GMT 2025","passed","Tue Apr 22 10:08:48 GMT 2025","","ANTI-REGRESSION","ANTI-REGRESSION",""
"","59","PYTHON-QUICK.08","","Tue Apr 22 10:06:52 GMT 2025","failed","Tue Apr 22 10:06:52 GMT 2025","","ISSUES","ISSUES",""
"","1000","hyperon-experimental_scripts.e3_match_states","","Tue Apr 22 09:46:25 GMT 2025","passed","Tue Apr 22 09:46:26 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","74","HYPERPOSE-COMP.09","","Tue Apr 22 09:48:24 GMT 2025","failed","Tue Apr 22 09:48:24 GMT 2025","","METTA-MORPH-TESTS-COMP","METTA-MORPH-TESTS-COMP",""
"","236","ALPHA-EQUALS-TESTS-COMP.12","","Tue Apr 22 10:08:18 GMT 2025","passed","Tue Apr 22 10:08:18 GMT 2025","","ISSUES-COMP","ISSUES-COMP",""
"","103","E2-STATES-COMP.07","","Tue Apr 22 09:49:58 GMT 2025","failed","Tue Apr 22 09:49:58 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS-COMP","HYPERON-EXPERIMENTAL-SCRIPTS-COMP",""
"","37","B0-CHAINING-PRELIM-COMP.02","","Tue Apr 22 09:49:58 GMT 2025","passed","Tue Apr 22 09:49:58 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS-COMP","HYPERON-EXPERIMENTAL-SCRIPTS-COMP",""
"","1000","issues.bug_239_bound_string_method","","Tue Apr 22 09:46:25 GMT 2025","passed","Tue Apr 22 09:46:26 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","32","STATES-SPACES.03","","Tue Apr 22 09:46:24 GMT 2025","passed","Tue Apr 22 09:46:24 GMT 2025","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","35","TESTS0-PREV-COMP.04","","Tue Apr 22 09:51:32 GMT 2025","failed","Tue Apr 22 09:51:32 GMT 2025","","MAIN-BRANCH-COMP","MAIN-BRANCH-COMP",""
"","160","C1-GROUNDED-BASIC.08","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","117","A1-SYMBOLS.02","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","29","B4-NONDETERM.02","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","29","02-CURRIED-PLUS-FOR-TYPES.10","","Tue Apr 22 09:53:16 GMT 2025","passed","Tue Apr 22 09:53:16 GMT 2025","","TYPES","TYPES",""
"","1","D3-DEPTYPES.04","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","50","NTH.02","","Tue Apr 22 09:52:20 GMT 2025","passed","Tue Apr 22 09:52:20 GMT 2025","","EASY","EASY",""
"","71","E2-STATES.12","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","40","MATCH-SUPERPOSED-SPACES.02","","Tue Apr 22 09:46:24 GMT 2025","passed","Tue Apr 22 09:46:24 GMT 2025","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","3","D4-TYPE-PROP.10","","Tue Apr 22 09:49:24 GMT 2025","passed","Tue Apr 22 09:49:24 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
